OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShipVia,Freight,ProductID,UnitPrice,Discount
10248,VINET,5,1996-07-04 00:00:00.000,1996-08-01 00:00:00.000,3,32.38,11,14.00,0
10248,VINET,5,1996-07-04 00:00:00.000,1996-08-01 00:00:00.000,3,32.38,42,9.80,0
10248,VINET,5,1996-07-04 00:00:00.000,1996-08-01 00:00:00.000,3,32.38,72,34.80,0
10249,TOMSP,6,1996-07-05 00:00:00.000,1996-08-16 00:00:00.000,1,11.61,14,18.60,0
10249,TOMSP,6,1996-07-05 00:00:00.000,1996-08-16 00:00:00.000,1,11.61,51,42.40,0
10250,HANAR,4,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,2,65.83,41,7.70,0
10250,HANAR,4,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,2,65.83,51,42.40,0.15
10250,HANAR,4,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,2,65.83,65,16.80,0.15
10251,VICTE,3,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1,41.34,22,16.80,0.05
10251,VICTE,3,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1,41.34,57,15.60,0.05
10251,VICTE,3,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1,41.34,65,16.80,0
10252,SUPRD,4,1996-07-09 00:00:00.000,1996-08-06 00:00:00.000,2,51.30,20,64.80,0.05
10252,SUPRD,4,1996-07-09 00:00:00.000,1996-08-06 00:00:00.000,2,51.30,33,2.00,0.05
10252,SUPRD,4,1996-07-09 00:00:00.000,1996-08-06 00:00:00.000,2,51.30,60,27.20,0
10253,HANAR,3,1996-07-10 00:00:00.000,1996-07-24 00:00:00.000,2,58.17,31,10.00,0
10253,HANAR,3,1996-07-10 00:00:00.000,1996-07-24 00:00:00.000,2,58.17,39,14.40,0
10253,HANAR,3,1996-07-10 00:00:00.000,1996-07-24 00:00:00.000,2,58.17,49,16.00,0
10254,CHOPS,5,1996-07-11 00:00:00.000,1996-08-08 00:00:00.000,2,22.98,24,3.60,0.15
10254,CHOPS,5,1996-07-11 00:00:00.000,1996-08-08 00:00:00.000,2,22.98,55,19.20,0.15
10254,CHOPS,5,1996-07-11 00:00:00.000,1996-08-08 00:00:00.000,2,22.98,74,8.00,0
10255,RICSU,9,1996-07-12 00:00:00.000,1996-08-09 00:00:00.000,3,148.33,2,15.20,0
10255,RICSU,9,1996-07-12 00:00:00.000,1996-08-09 00:00:00.000,3,148.33,16,13.90,0
10255,RICSU,9,1996-07-12 00:00:00.000,1996-08-09 00:00:00.000,3,148.33,36,15.20,0
10255,RICSU,9,1996-07-12 00:00:00.000,1996-08-09 00:00:00.000,3,148.33,59,44.00,0
10256,WELLI,3,1996-07-15 00:00:00.000,1996-08-12 00:00:00.000,2,13.97,53,26.20,0
10256,WELLI,3,1996-07-15 00:00:00.000,1996-08-12 00:00:00.000,2,13.97,77,10.40,0
10257,HILAA,4,1996-07-16 00:00:00.000,1996-08-13 00:00:00.000,3,81.91,27,35.10,0
10257,HILAA,4,1996-07-16 00:00:00.000,1996-08-13 00:00:00.000,3,81.91,39,14.40,0
10257,HILAA,4,1996-07-16 00:00:00.000,1996-08-13 00:00:00.000,3,81.91,77,10.40,0
10258,ERNSH,1,1996-07-17 00:00:00.000,1996-08-14 00:00:00.000,1,140.51,2,15.20,0.2
10258,ERNSH,1,1996-07-17 00:00:00.000,1996-08-14 00:00:00.000,1,140.51,5,17.00,0.2
